student,assignment,first,totalHits,totalLow,totalHigh,totalUniqueLow,totalUniqueHigh,totalNoteLength,relevancyRatio,uniqueRelevancyRatio,Step1Q1A,Step1Q1B,Step1Q1C,TotalScore,relSearch,relIndex,relNotes,relNotesIndex,pageComplexity,pageLength,pageSentiment,totalTime,totalSessions,timePerSession,Step1QTotal,ScoreClass
4044,637,0,29,21,8,19,4,0,0.28,0.17,0,0,0,#NULL!,0.173913043,0.275862069,0,0,45.39206897,734.1724138,11.96551724,141.5,2,71,0,LOW
4049,637,0,95,75,20,33,7,554,0.21,0.18,2,3,3,33.375,0.1,0.157894737,0,0,42.07263158,223.7473684,12.36842105,421,6,70,8,HIGH
4070,637,0,115,95,20,53,8,1595,0.17,0.13,2,0,0,28.75,0.081967213,0.130434783,0.4,0.125,38.91773913,500.4347826,12.48695652,467,6,78,2,LOW
4075,632,1,22,17,5,15,4,0,0.23,0.21,0,0,0,#NULL!,0.052631579,0.045454545,0,0,47.86681818,941.6363636,9.545454545,23.5,2,12,0,LOW
4078,637,0,1,1,0,1,0,0,0,0,0,0,0,#NULL!,0,0,0,0,43.3,88,15,139.5,2,70,0,LOW
4079,632,1,77,55,22,42,9,90,0.29,0.18,1,0,0,25.5,0.098039216,0.194805195,0,0,31.89571429,608.2597403,11.41558442,84,3,28,1,LOW
4080,637,0,38,31,7,24,5,2313,0.18,0.17,1,0,0,18.375,0.137931034,0.157894737,1,0.25,38.59736842,203.8947368,12.78947368,180,5,36,1,LOW
4081,637,0,147,130,17,56,8,0,0.12,0.13,1,1,0,23.375,0.078125,0.068027211,0,0,36.90979592,440.6122449,12.40816327,318.5,2,159,2,LOW
4085,637,0,58,46,12,28,6,0,0.21,0.18,2,3,3,37.125,0.088235294,0.120689655,0,0,35.74672414,444.5344828,13,331,4,83,8,HIGH
4090,637,0,31,20,11,13,4,0,0.35,0.24,2,2,0,23.125,0.176470588,0.322580645,0,0,44.38387097,500.8064516,13.09677419,159,3,53,4,MEDIUM
